Name,url
Golasgil,https://lotr.fandom.com/wiki/Golasgil
Goldberry,https://lotr.fandom.com/wiki/Goldberry
Gorbag,https://lotr.fandom.com/wiki/Gorbag
Gothmog (Lieutenant of Morgul),https://lotr.fandom.com/wiki/Gothmog_(Lieutenant_of_Morgul)
Grimbeorn,https://lotr.fandom.com/wiki/Grimbeorn
Grimbold,https://lotr.fandom.com/wiki/Grimbold
Grishnákh,https://lotr.fandom.com/wiki/Grishn%C3%A1kh
Gárulf,https://lotr.fandom.com/wiki/G%C3%A1rulf
Halbarad,https://lotr.fandom.com/wiki/Halbarad
Haldir of Lothlórien,https://lotr.fandom.com/wiki/Haldir_of_Lothl%C3%B3rien
Harding,https://lotr.fandom.com/wiki/Harding
Hob Hayward,https://lotr.fandom.com/wiki/Hob_Hayward
Mat Heathertoes,https://lotr.fandom.com/wiki/Mat_Heathertoes
Herefara,https://lotr.fandom.com/wiki/Herefara
Herubrand,https://lotr.fandom.com/wiki/Herubrand
Hirgon,https://lotr.fandom.com/wiki/Hirgon
Hirluin,https://lotr.fandom.com/wiki/Hirluin
Horn,https://lotr.fandom.com/wiki/Horn
Hugo Bracegirdle,https://lotr.fandom.com/wiki/Hugo_Bracegirdle
Háma,https://lotr.fandom.com/wiki/H%C3%A1ma
Húrin (Warden of the Keys),https://lotr.fandom.com/wiki/H%C3%BArin_(Warden_of_the_Keys)
Ingold,https://lotr.fandom.com/wiki/Ingold
Ioreth,https://lotr.fandom.com/wiki/Ioreth
King of the Dead,https://lotr.fandom.com/wiki/King_of_the_Dead
Lagduf,https://lotr.fandom.com/wiki/Lagduf
Landroval,https://lotr.fandom.com/wiki/Landroval
Lindir,https://lotr.fandom.com/wiki/Lindir
Mablung the Ranger,https://lotr.fandom.com/wiki/Mablung_the_Ranger
Farmer Maggot,https://lotr.fandom.com/wiki/Farmer_Maggot
Mrs. Maggot,https://lotr.fandom.com/wiki/Mrs._Maggot
Meneldor,https://lotr.fandom.com/wiki/Meneldor
Mouth of Sauron,https://lotr.fandom.com/wiki/Mouth_of_Sauron
Muzgash,https://lotr.fandom.com/wiki/Muzgash
Nob,https://lotr.fandom.com/wiki/Nob
Old Man Willow,https://lotr.fandom.com/wiki/Old_Man_Willow
Old Noakes,https://lotr.fandom.com/wiki/Old_Noakes
Orophin,https://lotr.fandom.com/wiki/Orophin
Otho Sackville-Baggins,https://lotr.fandom.com/wiki/Otho_Sackville-Baggins
Mrs. Proudfoot,https://lotr.fandom.com/wiki/Mrs._Proudfoot
Odo Proudfoot,https://lotr.fandom.com/wiki/Odo_Proudfoot
Sancho Proudfoot,https://lotr.fandom.com/wiki/Sancho_Proudfoot
Radagast,https://lotr.fandom.com/wiki/Radagast
Radbug,https://lotr.fandom.com/wiki/Radbug
Rúmil of Lórien,https://lotr.fandom.com/wiki/R%C3%BAmil_of_L%C3%B3rien
Lobelia Sackville-Baggins,https://lotr.fandom.com/wiki/Lobelia_Sackville-Baggins
Lotho Sackville-Baggins,https://lotr.fandom.com/wiki/Lotho_Sackville-Baggins
Ted Sandyman,https://lotr.fandom.com/wiki/Ted_Sandyman
Shagrat,https://lotr.fandom.com/wiki/Shagrat
Robin Smallburrow,https://lotr.fandom.com/wiki/Robin_Smallburrow
Snaga,https://lotr.fandom.com/wiki/Snaga
Snaga (Isengard),https://lotr.fandom.com/wiki/Snaga_(Isengard)
Targon,https://lotr.fandom.com/wiki/Targon
Thranduil,https://lotr.fandom.com/wiki/Thranduil
Théodred,https://lotr.fandom.com/wiki/Th%C3%A9odred
Daddy Twofoot,https://lotr.fandom.com/wiki/Daddy_Twofoot
Uglúk,https://lotr.fandom.com/wiki/Ugl%C3%BAk
Watcher in the Water,https://lotr.fandom.com/wiki/Watcher_in_the_Water
Will Whitfoot,https://lotr.fandom.com/wiki/Will_Whitfoot
Widow Rumble,https://lotr.fandom.com/wiki/Widow_Rumble
Wídfara,https://lotr.fandom.com/wiki/W%C3%ADdfara
Éothain,https://lotr.fandom.com/wiki/%C3%89othain
